"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameDateAPITransferComparator record1Value","[0] PlayerNameDateAPITransferComparator record2Value","[0] PlayerNameDateAPITransferComparator record1PreprocessedValue","[0] PlayerNameDateAPITransferComparator record2PreprocessedValue","[0] PlayerNameDateAPITransferComparator similarity","[0] PlayerNameDateAPITransferComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","3000899","4003921","0.159375",,"Matthew Casey","Marko Arnautovic","matthew casey","marko arnautovic","0.1875","0.159375"
"LinearCombinationMatchingRule","3007089","4001647","0.16999999999999996",,"Kephren Thuram-Ulien","Knowledge Musona","kephren thuram-ulien","knowledge musona","0.19999999999999996","0.16999999999999996"
"LinearCombinationMatchingRule","3003258","4003739","0.136",,"Jose Omar Perdomo Machado","Jordan Tunnicliffe","jose omar perdomo machado","jordan tunnicliffe","0.16000000000000003","0.136"
"LinearCombinationMatchingRule","3008094","4007455","0.12142857142857147",,"Artur Galoyan","Alexandre Pato","artur galoyan","alexandre pato","0.1428571428571429","0.12142857142857147"
"LinearCombinationMatchingRule","3007859","4008274","0.12142857142857147",,"Jordy Wehrmann","Jimmy","jordy wehrmann","jimmy","0.1428571428571429","0.12142857142857147"
"LinearCombinationMatchingRule","3008988","4002521","0.2125",,"Janabi Amour","José Shaffer","janabi amour","jose shaffer","0.25","0.2125"
"LinearCombinationMatchingRule","3007972","4008110","0.18888888888888888",,"Diego Martin Zabala Morales","Daniel Pavlovic","diego martin zabala morales","daniel pavlovic","0.2222222222222222","0.18888888888888888"
"LinearCombinationMatchingRule","3002395","4011287","0.16999999999999996",,"Alejandro Sanz Sainz","Ante Palaversa","alejandro sanz sainz","ante palaversa","0.19999999999999996","0.16999999999999996"
"LinearCombinationMatchingRule","3005856","4008551","0.2266666666666667",,"Riku Matsuda","Rens van Eijden","riku matsuda","rens van eijden","0.2666666666666667","0.2266666666666667"
"LinearCombinationMatchingRule","3001607","4000611","0.10625",,"Soufyan Ahannach","Steve Morison","soufyan ahannach","steve morison","0.125","0.10625"
"LinearCombinationMatchingRule","3009753","4008728","0.30357142857142855",,"LOUIS NICOLLIN","Luke Ayling","louis nicollin","luke ayling","0.3571428571428571","0.30357142857142855"
"LinearCombinationMatchingRule","3009322","4008575","0.34",,"Mitchel Candlin","Michael Törnes","mitchel candlin","michael tornes","0.4","0.34"
"LinearCombinationMatchingRule","3000044","4001410","0.14166666666666664",,"Alexandar Borkovic","Abdou Dampha","alexandar borkovic","abdou dampha","0.16666666666666663","0.14166666666666664"
"LinearCombinationMatchingRule","3006069","4006231","0.10625",,"Mike Tresor Ndayishimiye","Markus Feulner","mike tresor ndayishimiye","markus feulner","0.125","0.10625"
"LinearCombinationMatchingRule","3004452","4006106","0.16999999999999996",,"John Chancellor","Janis Ikaunieks","john chancellor","janis ikaunieks","0.19999999999999996","0.16999999999999996"
"LinearCombinationMatchingRule","3010096","4011525","0.30357142857142855",,"Leandro Barcia","Linton Maina","leandro barcia","linton maina","0.3571428571428571","0.30357142857142855"
"LinearCombinationMatchingRule","3003072","4010763","0.1789473684210526",,"Borja Garces Moreno","Bruno Leite","borja garces moreno","bruno leite","0.21052631578947367","0.1789473684210526"
"LinearCombinationMatchingRule","3001264","4010080","0.19615384615384612",,"Jordan Hugill","Josh Scowen","jordan hugill","josh scowen","0.23076923076923073","0.19615384615384612"
"LinearCombinationMatchingRule","3001639","4007782","0.16999999999999996",,"Joe Williams","Janek Sternberg","joe williams","janek sternberg","0.19999999999999996","0.16999999999999996"
"LinearCombinationMatchingRule","3001086","4007437","0.3928571428571428",,"Guo Quanbo","Giorgio Rasulo","guo quanbo","giorgio rasulo","0.2857142857142857","0.3928571428571428"
"LinearCombinationMatchingRule","3003741","4010783","0.34615384615384615",,"Jose Manuel Garcia Naranjo","Jean Felipe","jose manuel garcia naranjo","jean felipe","0.23076923076923073","0.34615384615384615"
"LinearCombinationMatchingRule","3009922","4000110","0.18478260869565213",,"Marcio Rafinha Ferreira","Michel Breuer","marcio rafinha ferreira","michel breuer","0.21739130434782605","0.18478260869565213"
"LinearCombinationMatchingRule","3001719","4010412","0.371875",,"Marlon Pack","Marvin Stefaniak","marlon pack","marvin stefaniak","0.4375","0.371875"
"LinearCombinationMatchingRule","3005147","4005382","0.5",,"Juan Musso","Juanmi","juan musso","juanmi","0.5","0.5"
"LinearCombinationMatchingRule","3005953","4005327","0.2833333333333334",,"Maxime Baila Lopez","Mikel Balenziaga","maxime baila lopez","mikel balenziaga","0.33333333333333337","0.2833333333333334"
"LinearCombinationMatchingRule","3003831","4007531","0.07083333333333336",,"Jess Thorup","Jordan Lyden","jess thorup","jordan lyden","0.08333333333333337","0.07083333333333336"
"LinearCombinationMatchingRule","3006661","4005002","0.16999999999999996",,"Charly Musonda","Cláudio Pitbull","charly musonda","claudio pitbull","0.19999999999999996","0.16999999999999996"
"LinearCombinationMatchingRule","3006348","4002387","0.2833333333333334",,"Myron Boadu","Mervan Celik","myron boadu","mervan celik","0.33333333333333337","0.2833333333333334"
"LinearCombinationMatchingRule","3001825","4011527","0.1789473684210526",,"Paul Green","Pierre Kunde Malong","paul green","pierre kunde malong","0.21052631578947367","0.1789473684210526"
"LinearCombinationMatchingRule","3001459","4002540","0.2125",,"Liam Cooper","Luís Alberto","liam cooper","luis alberto","0.25","0.2125"
"LinearCombinationMatchingRule","3009185","4007623","0.14166666666666664",,"Lee Bullen","Ludovic Blas","lee bullen","ludovic blas","0.16666666666666663","0.14166666666666664"
"LinearCombinationMatchingRule","3006793","4011001","0.24999999999999994",,"Julio Pleguezuelo","Juanjo Narváez","julio pleguezuelo","juanjo narvaez","0.2941176470588235","0.24999999999999994"
"LinearCombinationMatchingRule","3004319","4003642","0.30357142857142855",,"Andrea Rispoli","Andy Keogh","andrea rispoli","andy keogh","0.3571428571428571","0.30357142857142855"
"LinearCombinationMatchingRule","3006632","4003334","0.40263157894736845",,"Mathias Ross Jensen","Mathias Gehrt","mathias ross jensen","mathias gehrt","0.4736842105263158","0.40263157894736845"
"LinearCombinationMatchingRule","3001382","4009654","0.2833333333333334",,"Andre Gray","Aleksandr Gutor","andre gray","aleksandr gutor","0.33333333333333337","0.2833333333333334"
"LinearCombinationMatchingRule","3005871","4006475","0.44736842105263164",,"Nicolas De Preville","Nicola Ferrari","nicolas de preville","nicola ferrari","0.5263157894736843","0.44736842105263164"
"LinearCombinationMatchingRule","3007516","4001776","0.2266666666666667",,"Suently Alberto","Sulley Muntari","suently alberto","sulley muntari","0.2666666666666667","0.2266666666666667"
"LinearCombinationMatchingRule","3009596","4002199","0.16081081081081078",,"Maycon Vinicius Ferreira da Cruz,Nikao","Moussa Koné","maycon vinicius ferreira da cruznikao","moussa kone","0.18918918918918914","0.16081081081081078"
"LinearCombinationMatchingRule","3000923","4011278","0.2266666666666667",,"Cai JingYuan","Clark Robertson","cai jingyuan","clark robertson","0.2666666666666667","0.2266666666666667"
"LinearCombinationMatchingRule","3003032","4007418","0.2125",,"Marc Clamy","Mason Warren","marc clamy","mason warren","0.25","0.2125"
"LinearCombinationMatchingRule","3007145","4002953","0.09444444444444448",,"Kevin Mac Allister","Kanu","kevin mac allister","kanu","0.11111111111111116","0.09444444444444448"
"LinearCombinationMatchingRule","3000760","4000104","0.2833333333333334",,"Mark Sale","Marcus Pedersen","mark sale","marcus pedersen","0.33333333333333337","0.2833333333333334"
"LinearCombinationMatchingRule","3008980","4004217","0.46363636363636357",,"Mark Doyle","Mario Götze","mark doyle","mario gotze","0.5454545454545454","0.46363636363636357"
"LinearCombinationMatchingRule","3007928","4007277","0.27115384615384613",,"Joshua Holtby","Jorrit Smeets","joshua holtby","jorrit smeets","0.23076923076923073","0.27115384615384613"
"LinearCombinationMatchingRule","3003687","4005859","0.2023809523809524",,"Adam Zrelak","Aaron Taylor-Sinclair","adam zrelak","aaron taylor-sinclair","0.23809523809523814","0.2023809523809524"
"LinearCombinationMatchingRule","3009870","4009235","0.18888888888888888",,"Michel Borges De Jes&#250;s","Mirko Esposito","michel borges de jes&#250;s","mirko esposito","0.2222222222222222","0.18888888888888888"
"LinearCombinationMatchingRule","3002627","4006121","0.1259259259259259",,"Aridane Hernandez Umpierrez","Aboubakar Kamara","aridane hernandez umpierrez","aboubakar kamara","0.14814814814814814","0.1259259259259259"
"LinearCombinationMatchingRule","3002215","4004440","0.5363636363636364",,"Dolly Menga","Diego Mella","dolly menga","diego mella","0.4545454545454546","0.5363636363636364"
"LinearCombinationMatchingRule","3005240","4010010","0.3642857142857143",,"Matteo Darmian","Marley Watkins","matteo darmian","marley watkins","0.4285714285714286","0.3642857142857143"
"LinearCombinationMatchingRule","3002561","4008891","0.3090909090909091",,"Jon Aspiazu","Joel Asoro","jon aspiazu","joel asoro","0.36363636363636365","0.3090909090909091"
"LinearCombinationMatchingRule","3009119","4011470","0.3625",,"Enzo Le Fee","Emile Smith Rowe","enzo le fee","emile smith rowe","0.25","0.3625"
"LinearCombinationMatchingRule","3006109","4001804","0.2361111111111111",,"Marcus Molvadgaard","Maicosuel","marcus molvadgaard","maicosuel","0.2777777777777778","0.2361111111111111"
"LinearCombinationMatchingRule","3007012","4012032","0.136",,"Jean-Fran&#231;ois Fortin","Javi Muñoz","jean-fran&#231;ois fortin","javi munoz","0.16000000000000003","0.136"
"LinearCombinationMatchingRule","3005253","4008454","0.1133333333333333",,"Giacomo Ricci","Gorka Elustondo","giacomo ricci","gorka elustondo","0.1333333333333333","0.1133333333333333"
"LinearCombinationMatchingRule","3000610","4008213","0.19615384615384612",,"Jesse Lingard","João Novais","jesse lingard","joao novais","0.23076923076923073","0.19615384615384612"
"LinearCombinationMatchingRule","3004989","4003780","0.159375",,"Shumpei Naruse","Samir Bihmoutine","shumpei naruse","samir bihmoutine","0.1875","0.159375"
"LinearCombinationMatchingRule","3000029","4001789","0.22083333333333335",,"Michael Madl","Marcus Diniz","michael madl","marcus diniz","0.08333333333333337","0.22083333333333335"
"LinearCombinationMatchingRule","3008448","4004320","0.1133333333333333",,"Jonathan Damian Iglesias Abreu","Ja-cheol Koo","jonathan damian iglesias abreu","ja-cheol koo","0.1333333333333333","0.1133333333333333"
"LinearCombinationMatchingRule","3000523","4000542","0.29868421052631583",,"Jodan Henderson","Jean-Alain Fanchone","jodan henderson","jean-alain fanchone","0.26315789473684215","0.29868421052631583"
"LinearCombinationMatchingRule","3006990","4003532","0.15000000000000002",,"Lorenzo van Kleef","Liam Trotter","lorenzo van kleef","liam trotter","0.17647058823529416","0.15000000000000002"
"LinearCombinationMatchingRule","3003550","4000319","0.19615384615384612",,"Denis Dragus","David Bentley","denis dragus","david bentley","0.23076923076923073","0.19615384615384612"
"LinearCombinationMatchingRule","3006804","4007295","0.1789473684210526",,"Jonas Martin","Jay Emmanuel-Thomas","jonas martin","jay emmanuel-thomas","0.21052631578947367","0.1789473684210526"
"LinearCombinationMatchingRule","3003860","4003255","0.16999999999999996",,"Jose Corpas","Jairo Riedewald","jose corpas","jairo riedewald","0.19999999999999996","0.16999999999999996"
"LinearCombinationMatchingRule","3005869","4006666","0.20000000000000004",,"Laurent Koscielny","Luís Felipe","laurent koscielny","luis felipe","0.23529411764705888","0.20000000000000004"
"LinearCombinationMatchingRule","3009309","4004732","0.2266666666666667",,"Scott Laird","Santiago Morero","scott laird","santiago morero","0.2666666666666667","0.2266666666666667"
"LinearCombinationMatchingRule","3008373","4006858","0.15454545454545449",,"Tom Barlow","Tengarrinha","tom barlow","tengarrinha","0.18181818181818177","0.15454545454545449"
"LinearCombinationMatchingRule","3007025","4004906","0.3090909090909091",,"Brice Tutu","Bruno Moura","brice tutu","bruno moura","0.36363636363636365","0.3090909090909091"
"LinearCombinationMatchingRule","3001783","4004753","0.265625",,"Michael Morrison","Matteo Montorsi","michael morrison","matteo montorsi","0.3125","0.265625"
"LinearCombinationMatchingRule","3005486","4003931","0.23181818181818178",,"Diego Orlando Benaglio","Dejan Lovren","diego orlando benaglio","dejan lovren","0.2727272727272727","0.23181818181818178"
"LinearCombinationMatchingRule","3000877","4006587","0.30357142857142855",,"John Marquis","Joyce Anacoura","john marquis","joyce anacoura","0.3571428571428571","0.30357142857142855"
"LinearCombinationMatchingRule","3007484","4009709","0.16999999999999996",,"Nahuel Cisneros","Nikita Glushkov","nahuel cisneros","nikita glushkov","0.19999999999999996","0.16999999999999996"
"LinearCombinationMatchingRule","3009142","4011171","0.3321428571428572",,"David Kasumu","Diego Palacios","david kasumu","diego palacios","0.2142857142857143","0.3321428571428572"
"LinearCombinationMatchingRule","3009825","4000247","0.24499999999999994",,"Marcus Maddison","Mike Koenders","marcus maddison","mike koenders","0.19999999999999996","0.24499999999999994"
"LinearCombinationMatchingRule","3007574","4012090","0.10625",,"Stijn van Gassel","Samuel Chukwueze","stijn van gassel","samuel chukwueze","0.125","0.10625"
"LinearCombinationMatchingRule","3000104","4008828","0.16999999999999996",,"Morten Hjulmand","Matty Templeton","morten hjulmand","matty templeton","0.19999999999999996","0.16999999999999996"
"LinearCombinationMatchingRule","3002045","4005005","0.18214285714285716",,"Aaron Comrie","Ângelo Meneses","aaron comrie","angelo meneses","0.2142857142857143","0.18214285714285716"
"LinearCombinationMatchingRule","3002371","4000228","0.265625",,"Munir El Haddadi","Marcel Seip","munir el haddadi","marcel seip","0.3125","0.265625"
"LinearCombinationMatchingRule","3006337","4012109","0.15000000000000002",,"Fred Friday","Fede San Emeterio","fred friday","fede san emeterio","0.17647058823529416","0.15000000000000002"
"LinearCombinationMatchingRule","3009906","4000527","0.16346153846153844",,"Rafael Fernandes Santaiana","Ryan Harley","rafael fernandes santaiana","ryan harley","0.1923076923076923","0.16346153846153844"
"LinearCombinationMatchingRule","3000264","4001541","0.20000000000000004",,"Marvin Johnson","Marc Oliver Kempf","marvin johnson","marc oliver kempf","0.23529411764705888","0.20000000000000004"
"LinearCombinationMatchingRule","3004558","4001191","0.2833333333333334",,"Aliou Dia","Adrian Mariappa","aliou dia","adrian mariappa","0.33333333333333337","0.2833333333333334"
"LinearCombinationMatchingRule","3004839","4008571","0.340625",,"Dylan Watts","Django Warmerdam","dylan watts","django warmerdam","0.3125","0.340625"
"LinearCombinationMatchingRule","3004925","4005733","0.24999999999999994",,"Matteo Raspa","Mark Fotheringham","matteo raspa","mark fotheringham","0.2941176470588235","0.24999999999999994"
"LinearCombinationMatchingRule","3004295","4000458","0.14166666666666664",,"Nguyen Cong Phuong","Nick Proschwitz","nguyen cong phuong","nick proschwitz","0.16666666666666663","0.14166666666666664"
"LinearCombinationMatchingRule","3003410","4010604","0.306",,"Alejandro Cortell Palanca","Andrés Ponce","alejandro cortell palanca","andres ponce","0.36","0.306"
"LinearCombinationMatchingRule","3003605","4010480","0.09444444444444448",,"Milos Veljkovic","Manuel Pucciarelli","milos veljkovic","manuel pucciarelli","0.11111111111111116","0.09444444444444448"
"LinearCombinationMatchingRule","3001931","4000459","0.06538461538461533",,"Ryan christie","Robbie Brady","ryan christie","robbie brady","0.07692307692307687","0.06538461538461533"
"LinearCombinationMatchingRule","3006469","4000939","0.159375",,"Casper Tengstedt","Csaba Somogyi","casper tengstedt","csaba somogyi","0.1875","0.159375"
"LinearCombinationMatchingRule","3008663","4003837","0.18214285714285716",,"Christian Dean","Chuba Akpom","christian dean","chuba akpom","0.2142857142857143","0.18214285714285716"
"LinearCombinationMatchingRule","3004968","4005652","0.18214285714285716",,"Joao Alves de Assis Silva, Jo","Joe Riley","joao alves de assis silva jo","joe riley","0.2142857142857143","0.18214285714285716"
"LinearCombinationMatchingRule","3008433","4010263","0.2193548387096774",,"Benjamin Anthony Fisk Routledge","Brian Fernández","benjamin anthony fisk routledge","brian fernandez","0.25806451612903225","0.2193548387096774"
"LinearCombinationMatchingRule","3000459","4007961","0.265625",,"Adedeji Oshilaja","Andrea Mira","adedeji oshilaja","andrea mira","0.3125","0.265625"
"LinearCombinationMatchingRule","3001623","4000288","0.20000000000000004",,"Jamal Lowe","Jacob Butterfield","jamal lowe","jacob butterfield","0.23529411764705888","0.20000000000000004"
"LinearCombinationMatchingRule","3001469","4007006","0.19615384615384612",,"Jack Harrison","Jordi Masip","jack harrison","jordi masip","0.23076923076923073","0.19615384615384612"
"LinearCombinationMatchingRule","3002573","4003567","0.3583333333333334",,"Andoni Lopez","Anil Koc","andoni lopez","anil koc","0.33333333333333337","0.3583333333333334"
"LinearCombinationMatchingRule","3006311","4007208","0.30357142857142855",,"Richard Jensen","Rico Strieder","richard jensen","rico strieder","0.3571428571428571","0.30357142857142855"
"LinearCombinationMatchingRule","3002507","4010803","0.2833333333333334",,"Jonathan Clauss","João Vasco","jonathan clauss","joao vasco","0.33333333333333337","0.2833333333333334"
"LinearCombinationMatchingRule","3004887","4004029","0.24285714285714283",,"Hiroki Akiyama","Henri Bedimo","hiroki akiyama","henri bedimo","0.2857142857142857","0.24285714285714283"
"LinearCombinationMatchingRule","3007133","4009469","0.11086956521739132",,"Julio Alberto Buffarini","Joel","julio alberto buffarini","joel","0.13043478260869568","0.11086956521739132"
"LinearCombinationMatchingRule","3001472","4001032","0.48571428571428565",,"Jordan Stevens","John Stones","jordan stevens","john stones","0.5714285714285714","0.48571428571428565"
"LinearCombinationMatchingRule","3000157","4002440","0.340625",,"Martin Pusic","Matías Rodríguez","martin pusic","matias rodriguez","0.3125","0.340625"
"LinearCombinationMatchingRule","3002766","4004498","0.18214285714285716",,"Achraf Hakimi","Antonio Maglia","achraf hakimi","antonio maglia","0.2142857142857143","0.18214285714285716"
"LinearCombinationMatchingRule","3005777","4001393","0.24285714285714283",,"Marcelo Antonio Guedes Filho","Mario Lemina","marcelo antonio guedes filho","mario lemina","0.2857142857142857","0.24285714285714283"
"LinearCombinationMatchingRule","3001905","4011445","0.3305555555555555",,"Bartosz Bialkowski","Bafodé Diakité","bartosz bialkowski","bafode diakite","0.38888888888888884","0.3305555555555555"
"LinearCombinationMatchingRule","3001487","4008448","0.2125",,"Lucas Radebe","Luismi","lucas radebe","luismi","0.25","0.2125"
"LinearCombinationMatchingRule","3005791","4009813","0.0894736842105263",,"Jeff Reine Adelaide","Jony","jeff reine adelaide","jony","0.10526315789473684","0.0894736842105263"
"LinearCombinationMatchingRule","3001706","4011846","0.24285714285714283",,"Adam Randell","André Ferreira","adam randell","andre ferreira","0.2857142857142857","0.24285714285714283"
