"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Photo","1.0","Photo-{3004840|14458}","{|https://cdn.sofifa.org/players/4/19/204725.png}","https://cdn.sofifa.org/players/4/19/204725.png",,
"Photo","1.0","Photo-{9225}","{https://cdn.sofifa.org/players/4/19/214884.png}","https://cdn.sofifa.org/players/4/19/214884.png",,
"Photo","1.0","Photo-{7650|3001795}","{https://cdn.sofifa.org/players/4/19/203265.png|http://zq.win007.com/Image/player/images/2014119194758.jpg}","https://cdn.sofifa.org/players/4/19/203265.png",,
"Photo","1.0","Photo-{3009085|3838}","{http://zq.win007.com/Image/player/images/2014916151537.jpg|https://cdn.sofifa.org/players/4/19/212947.png}","https://cdn.sofifa.org/players/4/19/212947.png",,
"Photo","1.0","Photo-{6372}","{https://cdn.sofifa.org/players/4/19/187076.png}","https://cdn.sofifa.org/players/4/19/187076.png",,
"Photo","1.0","Photo-{3000166|17001}","{http://zq.win007.com/Image/player/images/2019824101317.png|https://cdn.sofifa.org/players/4/19/245233.png}","https://cdn.sofifa.org/players/4/19/245233.png",,
"Photo","1.0","Photo-{997|3005110}","{https://cdn.sofifa.org/players/4/19/193361.png|http://zq.win007.com/Image/player/images/2019823190900.jpg}","https://cdn.sofifa.org/players/4/19/193361.png",,
"Photo","1.0","Photo-{1218}","{https://cdn.sofifa.org/players/4/19/192012.png}","https://cdn.sofifa.org/players/4/19/192012.png",,
"Photo","1.0","Photo-{737}","{https://cdn.sofifa.org/players/4/19/230988.png}","https://cdn.sofifa.org/players/4/19/230988.png",,
"Photo","1.0","Photo-{3}","{https://cdn.sofifa.org/players/4/19/190871.png}","https://cdn.sofifa.org/players/4/19/190871.png",,
"Photo","1.0","Photo-{3004140}","{http://zq.win007.com/Image/player/images/201461754842.png}","http://zq.win007.com/Image/player/images/201461754842.png",,
"Photo","1.0","Photo-{457|3001675}","{https://cdn.sofifa.org/players/4/19/205693.png|http://zq.win007.com/Image/player/images/2012710114925.jpg}","https://cdn.sofifa.org/players/4/19/205693.png",,
"Photo","1.0","Photo-{4458}","{https://cdn.sofifa.org/players/4/19/215455.png}","https://cdn.sofifa.org/players/4/19/215455.png",,
"Photo","1.0","Photo-{7087}","{https://cdn.sofifa.org/players/4/19/217203.png}","https://cdn.sofifa.org/players/4/19/217203.png",,
"Photo","0.967741935483871","Photo-{14051|3007380|3008332|3007244|3003186|3063|3008110|6030|3008176|3006790|3003861|3005147|1159|3009800|3002810|9192|3003152|9396|3003371|3008108|12749|3003430|3007477|3003117|3002526|3003836|7901|3002866|10245|12965|948}","{https://cdn.sofifa.org/players/4/19/221732.png|||http://zq.win007.com/Image/player/images/201521684011.jpg|http://zq.win007.com/Image/player/images/201982494412.png|https://cdn.sofifa.org/players/4/19/210111.png|http://zq.win007.com/Image/player/images/2015216110906.jpg|https://cdn.sofifa.org/players/4/19/226157.png||||http://zq.win007.com/Image/player/images/2019824174504.png|https://cdn.sofifa.org/players/4/19/212442.png|||https://cdn.sofifa.org/players/4/19/236635.png||https://cdn.sofifa.org/players/4/19/206219.png|http://zq.win007.com/Image/player/images/201982494754.png|http://zq.win007.com/Image/player/images/201486193904.jpg|https://cdn.sofifa.org/players/4/19/221611.png||http://zq.win007.com/Image/player/images/201892032336.jpg||http://zq.win007.com/Image/player/images/201576221729.jpg|http://zq.win007.com/Image/player/images/2015121565122.jpg|https://cdn.sofifa.org/players/4/19/219452.png|http://zq.win007.com/Image/player/images/201618174606.jpg|https://cdn.sofifa.org/players/4/19/223819.png|https://cdn.sofifa.org/players/4/19/245219.png|https://cdn.sofifa.org/players/4/19/200752.png}","https://cdn.sofifa.org/players/4/19/221732.png",,
"Photo","1.0","Photo-{6174|3004623}","{https://cdn.sofifa.org/players/4/19/241297.png|http://zq.win007.com/Image/player/images/20147850806.jpg}","https://cdn.sofifa.org/players/4/19/241297.png",,
"Photo","1.0","Photo-{3005665|3562}","{http://zq.win007.com/Image/player/images/201186125510.jpg|https://cdn.sofifa.org/players/4/19/163186.png}","https://cdn.sofifa.org/players/4/19/163186.png",,
"Photo","1.0","Photo-{3001644}","{}","",,
"Photo","1.0","Photo-{384}","{https://cdn.sofifa.org/players/4/19/185239.png}","https://cdn.sofifa.org/players/4/19/185239.png",,
"Photo","1.0","Photo-{10828}","{https://cdn.sofifa.org/players/4/19/196316.png}","https://cdn.sofifa.org/players/4/19/196316.png",,
"Photo","1.0","Photo-{3003169|614|3006957}","{http://zq.win007.com/Image/player/images/201881171327.jpg|https://cdn.sofifa.org/players/4/19/205192.png|http://zq.win007.com/Image/player/images/2015122184944.jpg}","https://cdn.sofifa.org/players/4/19/205192.png",,
"Photo","1.0","Photo-{12606|3000154}","{https://cdn.sofifa.org/players/4/19/199307.png|http://zq.win007.com/Image/player/images/2012716142553.jpg}","https://cdn.sofifa.org/players/4/19/199307.png",,
"Photo","1.0","Photo-{9668|3007960}","{https://cdn.sofifa.org/players/4/19/241607.png|}","https://cdn.sofifa.org/players/4/19/241607.png",,
"Photo","1.0","Photo-{4457}","{https://cdn.sofifa.org/players/4/19/194718.png}","https://cdn.sofifa.org/players/4/19/194718.png",,
"Photo","1.0","Photo-{6856}","{https://cdn.sofifa.org/players/4/19/224315.png}","https://cdn.sofifa.org/players/4/19/224315.png",,
"Photo","1.0","Photo-{3006417|6620|3920|7163}","{http://zq.win007.com/Image/player/images/201318110305.jpg|https://cdn.sofifa.org/players/4/19/198147.png|https://cdn.sofifa.org/players/4/19/189938.png|https://cdn.sofifa.org/players/4/19/183686.png}","https://cdn.sofifa.org/players/4/19/198147.png",,
"Photo","1.0","Photo-{3000175|7471}","{http://zq.win007.com/Image/player/images/2012717153906.jpg|https://cdn.sofifa.org/players/4/19/199384.png}","https://cdn.sofifa.org/players/4/19/199384.png",,
"Photo","1.0","Photo-{3006974|6246}","{http://zq.win007.com/Image/player/images/2014318174256.jpg|https://cdn.sofifa.org/players/4/19/212643.png}","https://cdn.sofifa.org/players/4/19/212643.png",,
"Photo","1.0","Photo-{3004331|10347}","{http://zq.win007.com/Image/player/images\68bb56cd-2632-4e6c-89e8-ca6f6595bbf4.jpg|https://cdn.sofifa.org/players/4/19/225381.png}","https://cdn.sofifa.org/players/4/19/225381.png",,
"Photo","0.875","Photo-{3005598|12419|3001100|17505|15753|3005462|15736|3001062}","{http://zq.win007.com/Image/player/images/201422204454.jpg|https://cdn.sofifa.org/players/4/19/222299.png|http://zq.win007.com/Image/player/images/201241451654.jpg|https://cdn.sofifa.org/players/4/19/242409.png|https://cdn.sofifa.org/players/4/19/222179.png|http://zq.win007.com/Image/player/images/201632162559.jpg|https://cdn.sofifa.org/players/4/19/233180.png|http://zq.win007.com/Image/player/images/2018921232427.png}","https://cdn.sofifa.org/players/4/19/222299.png",,
"Photo","1.0","Photo-{383}","{https://cdn.sofifa.org/players/4/19/187072.png}","https://cdn.sofifa.org/players/4/19/187072.png",,
"Photo","1.0","Photo-{3006405|9321}","{http://zq.win007.com/Image/player/images/2018712144815.jpg|https://cdn.sofifa.org/players/4/19/235899.png}","https://cdn.sofifa.org/players/4/19/235899.png",,
"Photo","1.0","Photo-{822|3003607}","{https://cdn.sofifa.org/players/4/19/205431.png|http://zq.win007.com/Image/player/images/201212204539.jpg}","https://cdn.sofifa.org/players/4/19/205431.png",,
"Photo","1.0","Photo-{3008061|579}","{http://zq.win007.com/Image/player/images/201864174955.png|https://cdn.sofifa.org/players/4/19/225647.png}","https://cdn.sofifa.org/players/4/19/225647.png",,
"Photo","1.0","Photo-{3000138|9264}","{http://zq.win007.com/Image/player/images/2019824102210.png|https://cdn.sofifa.org/players/4/19/234093.png}","https://cdn.sofifa.org/players/4/19/234093.png",,
