"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameFIFAESDComparatorJaccard record1Value","[0] PlayerNameFIFAESDComparatorJaccard record2Value","[0] PlayerNameFIFAESDComparatorJaccard record1PreprocessedValue","[0] PlayerNameFIFAESDComparatorJaccard record2PreprocessedValue","[0] PlayerNameFIFAESDComparatorJaccard similarity","[0] PlayerNameFIFAESDComparatorJaccard postproccesedSimilarity","[1] HeightFIFAESDAbsoluteDifferences record1Value","[1] HeightFIFAESDAbsoluteDifferences record2Value","[1] HeightFIFAESDAbsoluteDifferences record1PreprocessedValue","[1] HeightFIFAESDAbsoluteDifferences record2PreprocessedValue","[1] HeightFIFAESDAbsoluteDifferences similarity","[1] HeightFIFAESDAbsoluteDifferences postproccesedSimilarity","[2] DateFIFAESDComparator2Year record1Value","[2] DateFIFAESDComparator2Year record2Value","[2] DateFIFAESDComparator2Year record1PreprocessedValue","[2] DateFIFAESDComparator2Year record2PreprocessedValue","[2] DateFIFAESDComparator2Year similarity","[2] DateFIFAESDComparator2Year postproccesedSimilarity"
"LinearCombinationMatchingRule","10162","2001091","0.16666666666666666",,"B. Passi","Boban Jovic","b passi","b jovic","0.3333333333333333","0.3333333333333333","187.9600067138672","177.8000030517578","187.9600067138672","177.8000030517578","0.0","0.0","1999-01-01T00:00","1991-06-25T00:00","1999-01-01T00:00","1991-06-25T00:00","0.0","0.0"
"LinearCombinationMatchingRule","1236","2000241","0.09124994277954102",,"Alan Kardec","Albert Rusnak","alan kardec","albert rusnak","0.0","0.0","185.4199981689453","180.33999633789062","185.4199981689453","180.33999633789062","0.36499977111816406","0.36499977111816406","1990-01-01T00:00","1994-07-07T00:00","1990-01-01T00:00","1994-07-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","1236","2000244","0.1706247329711914",,"Alan Kardec","Alberto Brignoli","alan kardec","alberto brignoli","0.0","0.0","185.4199981689453","187.9600067138672","185.4199981689453","187.9600067138672","0.6824989318847656","0.6824989318847656","1990-01-01T00:00","1991-08-19T00:00","1990-01-01T00:00","1991-08-19T00:00","0.0","0.0"
"LinearCombinationMatchingRule","3931","2000746","0.32041708628336585",,"A. Federici","Antonio Amaya","a federici","a amaya","0.3333333333333333","0.3333333333333333","187.9600067138672","193.0399932861328","187.9600067138672","193.0399932861328","0.3650016784667969","0.3650016784667969","1986-01-01T00:00","1983-05-31T00:00","1986-01-01T00:00","1983-05-31T00:00","0.25","0.25"
"LinearCombinationMatchingRule","493","2005392","0.1706252098083496",,"Mario Gaspar","Manuel Lucena","mario gaspar","manuel lucena","0.0","0.0","182.8800048828125","185.4199981689453","182.8800048828125","185.4199981689453","0.6825008392333984","0.6825008392333984","1992-01-01T00:00","1982-11-17T00:00","1992-01-01T00:00","1982-11-17T00:00","0.0","0.0"
"LinearCombinationMatchingRule","14818","2006899","0.16666666666666666",,"P. Ruiz","Paul McShane","p ruiz","p mcshane","0.3333333333333333","0.3333333333333333","172.72000122070312","182.8800048828125","172.72000122070312","182.8800048828125","0.0","0.0","2000-01-01T00:00","1986-01-06T00:00","2000-01-01T00:00","1986-01-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","5282","2006311","0.17854181925455728",,"M. Larrondo","Mohammed Aoulad","m larrondo","m aoulad","0.3333333333333333","0.3333333333333333","190.5","182.8800048828125","190.5","182.8800048828125","0.0475006103515625","0.0475006103515625","1990-01-01T00:00","1991-08-29T00:00","1990-01-01T00:00","1991-08-29T00:00","0.0","0.0"
"LinearCombinationMatchingRule","1441","2004379","0.16666666666666666",,"J. Fernandes","Jose Sa","j fernandes","j sa","0.3333333333333333","0.3333333333333333","182.8800048828125","193.0399932861328","182.8800048828125","193.0399932861328","0.0","0.0","1990-01-01T00:00","1993-01-17T00:00","1990-01-01T00:00","1993-01-17T00:00","0.0","0.0"
"LinearCombinationMatchingRule","48","2007588","0.5247918764750162",,"R. Lukaku","Ross Barkley","r lukaku","r barkley","0.3333333333333333","0.3333333333333333","190.5","187.9600067138672","190.5","187.9600067138672","0.6825008392333984","0.6825008392333984","1994-01-01T00:00","1993-12-05T00:00","1994-01-01T00:00","1993-12-05T00:00","0.75","0.75"
"LinearCombinationMatchingRule","3786","2003681","0.125",,"Jonas Damasto","Jacobo","jonas damasto","jacobo","0.0","0.0","177.8000030517578","195.5800018310547","177.8000030517578","195.5800018310547","0.0","0.0","1985-01-01T00:00","1983-07-10T00:00","1985-01-01T00:00","1983-07-10T00:00","0.5","0.5"
"LinearCombinationMatchingRule","7647","2003668","0.21624994277954102",,"J. Pereyra Díaz","Jack Collison","j pereyra diaz","j collison","0.25","0.25","177.8000030517578","182.8800048828125","177.8000030517578","182.8800048828125","0.36499977111816406","0.36499977111816406","1992-01-01T00:00","1988-10-02T00:00","1992-01-01T00:00","1988-10-02T00:00","0.0","0.0"
"LinearCombinationMatchingRule","8486","2007790","0.25791660944620765",,"S. Campo","Sanjin Prcic","s campo","s prcic","0.3333333333333333","0.3333333333333333","177.8000030517578","182.8800048828125","177.8000030517578","182.8800048828125","0.36499977111816406","0.36499977111816406","1997-01-01T00:00","1993-11-20T00:00","1997-01-01T00:00","1993-11-20T00:00","0.0","0.0"
"LinearCombinationMatchingRule","1313","2003232","0.1706247329711914",,"Gedson Fernandes","Gonzalo Rodriguez","gedson fernandes","gonzalo rodriguez","0.0","0.0","180.33999633789062","182.8800048828125","180.33999633789062","182.8800048828125","0.6824989318847656","0.6824989318847656","2000-01-01T00:00","1984-04-10T00:00","2000-01-01T00:00","1984-04-10T00:00","0.0","0.0"
"LinearCombinationMatchingRule","8067","2003780","0.17854181925455728",,"J. Campuzano","Jan Lecjaks","j campuzano","j lecjaks","0.3333333333333333","0.3333333333333333","177.8000030517578","185.4199981689453","177.8000030517578","185.4199981689453","0.0475006103515625","0.0475006103515625","1997-01-01T00:00","1990-08-09T00:00","1997-01-01T00:00","1990-08-09T00:00","0.0","0.0"
"LinearCombinationMatchingRule","667","2006354","0.22916666666666666",,"M. Hitz","Moussa Narry","m hitz","m narry","0.3333333333333333","0.3333333333333333","193.0399932861328","180.33999633789062","193.0399932861328","180.33999633789062","0.0","0.0","1989-01-01T00:00","1986-04-19T00:00","1989-01-01T00:00","1986-04-19T00:00","0.25","0.25"
"LinearCombinationMatchingRule","117","2000678","0.25791660944620765",,"A. Martial","Angel Lafita","a martial","a lafita","0.3333333333333333","0.3333333333333333","182.8800048828125","187.9600067138672","182.8800048828125","187.9600067138672","0.36499977111816406","0.36499977111816406","1997-01-01T00:00","1984-08-07T00:00","1997-01-01T00:00","1984-08-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","16176","2008482","0.3243751525878906",,"T. Righetti","Timothy Fosu-Mensah","t righetti","t fosu-mensah","0.25","0.25","177.8000030517578","185.4199981689453","177.8000030517578","185.4199981689453","0.0475006103515625","0.0475006103515625","1999-01-01T00:00","1998-01-02T00:00","1999-01-01T00:00","1998-01-02T00:00","0.75","0.75"
"LinearCombinationMatchingRule","13330","2001463","0.375",,"C. Højer Nielsen","Christian Lell","c hjer nielsen","c lell","0.25","0.25","182.8800048828125","182.8800048828125","182.8800048828125","182.8800048828125","1.0","1.0","1996-01-01T00:00","1984-08-29T00:00","1996-01-01T00:00","1984-08-29T00:00","0.0","0.0"
"LinearCombinationMatchingRule","13140","2000242","0.33729139963785804",,"A. Akinyemi","Alberto Aquilani","a akinyemi","a aquilani","0.3333333333333333","0.3333333333333333","187.9600067138672","185.4199981689453","187.9600067138672","185.4199981689453","0.6824989318847656","0.6824989318847656","2000-01-01T00:00","1984-07-07T00:00","2000-01-01T00:00","1984-07-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","1451","2005716","0.0",,"Marc Roca","Martin Amedick","marc roca","martin amedick","0.0","0.0","182.8800048828125","193.0399932861328","182.8800048828125","193.0399932861328","0.0","0.0","1998-01-01T00:00","1982-09-06T00:00","1998-01-01T00:00","1982-09-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","6440","2002870","0.0",,"Felipe Silva","Francesco Marianini","felipe silva","francesco marianini","0.0","0.0","170.17999267578125","185.4199981689453","170.17999267578125","185.4199981689453","0.0","0.0","1991-01-01T00:00","1979-05-06T00:00","1991-01-01T00:00","1979-05-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","17792","2004970","0.16666666666666666",,"L. Beckemeyer","Leighton Baines","l beckemeyer","l baines","0.3333333333333333","0.3333333333333333","185.4199981689453","170.17999267578125","185.4199981689453","170.17999267578125","0.0","0.0","2001-01-01T00:00","1984-12-11T00:00","2001-01-01T00:00","1984-12-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","4207","2002873","0.25791660944620765",,"F. Calvo","Francesco Parravicini","f calvo","f parravicini","0.3333333333333333","0.3333333333333333","180.33999633789062","175.25999450683594","180.33999633789062","175.25999450683594","0.36499977111816406","0.36499977111816406","1994-01-01T00:00","1982-01-31T00:00","1994-01-01T00:00","1982-01-31T00:00","0.0","0.0"
"LinearCombinationMatchingRule","4891","2001029","0.32041660944620765",,"B. Schenkeveld","Benjamin Stambouli","b schenkeveld","b stambouli","0.3333333333333333","0.3333333333333333","185.4199981689453","180.33999633789062","185.4199981689453","180.33999633789062","0.36499977111816406","0.36499977111816406","1993-01-01T00:00","1990-08-13T00:00","1993-01-01T00:00","1990-08-13T00:00","0.25","0.25"
"LinearCombinationMatchingRule","17023","2000140","0.25791660944620765",,"A. Linnér","Adrian Basta","a linner","a basta","0.3333333333333333","0.3333333333333333","185.4199981689453","180.33999633789062","185.4199981689453","180.33999633789062","0.36499977111816406","0.36499977111816406","2000-01-01T00:00","1988-12-01T00:00","2000-01-01T00:00","1988-12-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","18038","2001530","0.41666666666666663",,"C. Landa","Ciro Polito","c landa","c polito","0.3333333333333333","0.3333333333333333","182.8800048828125","182.8800048828125","182.8800048828125","182.8800048828125","1.0","1.0","2000-01-01T00:00","1979-04-12T00:00","2000-01-01T00:00","1979-04-12T00:00","0.0","0.0"
"LinearCombinationMatchingRule","4214","2006220","0.33729139963785804",,"M. Hassen","Mikele Leigertwood","m hassen","m leigertwood","0.3333333333333333","0.3333333333333333","185.4199981689453","187.9600067138672","185.4199981689453","187.9600067138672","0.6824989318847656","0.6824989318847656","1996-01-01T00:00","1982-11-12T00:00","1996-01-01T00:00","1982-11-12T00:00","0.0","0.0"
"LinearCombinationMatchingRule","14620","2001081","0.25",,"Baek Dong Gyu","Blair Spittal","baek dong gyu","blair spittal","0.0","0.0","182.8800048828125","182.8800048828125","182.8800048828125","182.8800048828125","1.0","1.0","1992-01-01T00:00","1995-12-19T00:00","1992-01-01T00:00","1995-12-19T00:00","0.0","0.0"
"LinearCombinationMatchingRule","436","2006052","0.16666666666666666",,"M. Dahoud","Michael Dingsdag","m dahoud","m dingsdag","0.3333333333333333","0.3333333333333333","177.8000030517578","187.9600067138672","177.8000030517578","187.9600067138672","0.0","0.0","1997-01-01T00:00","1982-10-18T00:00","1997-01-01T00:00","1982-10-18T00:00","0.0","0.0"
"LinearCombinationMatchingRule","11733","2000213","0.33729139963785804",,"A. Taoui","Alain Schultz","a taoui","a schultz","0.3333333333333333","0.3333333333333333","177.8000030517578","175.25999450683594","177.8000030517578","175.25999450683594","0.6824989318847656","0.6824989318847656","2003-01-01T00:00","1983-02-17T00:00","2003-01-01T00:00","1983-02-17T00:00","0.0","0.0"
"LinearCombinationMatchingRule","1257","2000583","0.2956252098083496",,"Ayoze Pérez","Andrea Belotti","ayoze perez","andrea belotti","0.0","0.0","177.8000030517578","180.33999633789062","177.8000030517578","180.33999633789062","0.6825008392333984","0.6825008392333984","1995-01-01T00:00","1993-12-20T00:00","1995-01-01T00:00","1993-12-20T00:00","0.5","0.5"
"LinearCombinationMatchingRule","1031","2005579","0.17854134241739908",,"M. Dabbur","Marian Kelemen","m dabbur","m kelemen","0.3333333333333333","0.3333333333333333","180.33999633789062","187.9600067138672","180.33999633789062","187.9600067138672","0.04749870300292969","0.04749870300292969","1993-01-01T00:00","1979-12-07T00:00","1993-01-01T00:00","1979-12-07T00:00","0.0","0.0"
